GEOID,NAME,median_income
17031010100,Census Tract 101; Cook County; Illinois,74145.0
17031010201,Census Tract 102.01; Cook County; Illinois,63056.0
17031010202,Census Tract 102.02; Cook County; Illinois,53220.0
17031010300,Census Tract 103; Cook County; Illinois,73105.0
17031010400,Census Tract 104; Cook County; Illinois,54083.0
17031010501,Census Tract 105.01; Cook County; Illinois,48833.0
17031010502,Census Tract 105.02; Cook County; Illinois,63125.0
17031010503,Census Tract 105.03; Cook County; Illinois,32443.0
17031010600,Census Tract 106; Cook County; Illinois,72500.0
17031010701,Census Tract 107.01; Cook County; Illinois,74813.0
17031010702,Census Tract 107.02; Cook County; Illinois,61724.0
17031020100,Census Tract 201; Cook County; Illinois,64904.0
17031020200,Census Tract 202; Cook County; Illinois,120625.0
17031020301,Census Tract 203.01; Cook County; Illinois,78385.0
17031020302,Census Tract 203.02; Cook County; Illinois,71250.0
17031020400,Census Tract 204; Cook County; Illinois,73790.0
17031020500,Census Tract 205; Cook County; Illinois,37819.0
17031020601,Census Tract 206.01; Cook County; Illinois,64127.0
17031020602,Census Tract 206.02; Cook County; Illinois,89663.0
17031020701,Census Tract 207.01; Cook County; Illinois,108568.0
17031020702,Census Tract 207.02; Cook County; Illinois,63906.0
17031020801,Census Tract 208.01; Cook County; Illinois,74931.0
17031020802,Census Tract 208.02; Cook County; Illinois,68725.0
17031020901,Census Tract 209.01; Cook County; Illinois,56291.0
17031020902,Census Tract 209.02; Cook County; Illinois,45547.0
17031030101,Census Tract 301.01; Cook County; Illinois,48929.0
17031030102,Census Tract 301.02; Cook County; Illinois,59826.0
17031030103,Census Tract 301.03; Cook County; Illinois,49545.0
17031030104,Census Tract 301.04; Cook County; Illinois,41823.0
17031030200,Census Tract 302; Cook County; Illinois,108466.0
17031030300,Census Tract 303; Cook County; Illinois,68933.0
17031030400,Census Tract 304; Cook County; Illinois,98909.0
17031030500,Census Tract 305; Cook County; Illinois,127055.0
17031030601,Census Tract 306.01; Cook County; Illinois,52917.0
17031030603,Census Tract 306.03; Cook County; Illinois,49674.0
17031030604,Census Tract 306.04; Cook County; Illinois,51688.0
17031030701,Census Tract 307.01; Cook County; Illinois,44948.0
17031030702,Census Tract 307.02; Cook County; Illinois,60603.0
17031030703,Census Tract 307.03; Cook County; Illinois,74702.0
17031030706,Census Tract 307.06; Cook County; Illinois,52167.0
17031030800,Census Tract 308; Cook County; Illinois,105585.0
17031030900,Census Tract 309; Cook County; Illinois,87485.0
17031031000,Census Tract 310; Cook County; Illinois,132147.0
17031031100,Census Tract 311; Cook County; Illinois,92717.0
17031031200,Census Tract 312; Cook County; Illinois,25713.0
17031031300,Census Tract 313; Cook County; Illinois,68942.0
17031031400,Census Tract 314; Cook County; Illinois,93026.0
17031031501,Census Tract 315.01; Cook County; Illinois,52250.0
17031031502,Census Tract 315.02; Cook County; Illinois,49684.0
17031031700,Census Tract 317; Cook County; Illinois,79867.0
17031031800,Census Tract 318; Cook County; Illinois,82313.0
17031031900,Census Tract 319; Cook County; Illinois,94107.0
17031032100,Census Tract 321; Cook County; Illinois,72515.0
17031040100,Census Tract 401; Cook County; Illinois,90952.0
17031040201,Census Tract 402.01; Cook County; Illinois,104484.0
17031040202,Census Tract 402.02; Cook County; Illinois,67832.0
17031040300,Census Tract 403; Cook County; Illinois,78879.0
17031040401,Census Tract 404.01; Cook County; Illinois,108899.0
17031040402,Census Tract 404.02; Cook County; Illinois,99201.0
17031040600,Census Tract 406; Cook County; Illinois,89091.0
17031040700,Census Tract 407; Cook County; Illinois,105365.0
17031040800,Census Tract 408; Cook County; Illinois,114397.0
17031040900,Census Tract 409; Cook County; Illinois,86359.0
17031050100,Census Tract 501; Cook County; Illinois,116438.0
17031050200,Census Tract 502; Cook County; Illinois,133708.0
17031050300,Census Tract 503; Cook County; Illinois,151630.0
17031050500,Census Tract 505; Cook County; Illinois,141563.0
17031050600,Census Tract 506; Cook County; Illinois,137083.0
17031050700,Census Tract 507; Cook County; Illinois,135653.0
17031050800,Census Tract 508; Cook County; Illinois,190469.0
17031050900,Census Tract 509; Cook County; Illinois,132258.0
17031051000,Census Tract 510; Cook County; Illinois,186458.0
17031051100,Census Tract 511; Cook County; Illinois,161900.0
17031051200,Census Tract 512; Cook County; Illinois,176571.0
17031051300,Census Tract 513; Cook County; Illinois,147386.0
17031051400,Census Tract 514; Cook County; Illinois,167194.0
17031060100,Census Tract 601; Cook County; Illinois,157917.0
17031060200,Census Tract 602; Cook County; Illinois,85417.0
17031060300,Census Tract 603; Cook County; Illinois,173125.0
17031060400,Census Tract 604; Cook County; Illinois,153625.0
17031060500,Census Tract 605; Cook County; Illinois,52143.0
17031060800,Census Tract 608; Cook County; Illinois,90174.0
17031060900,Census Tract 609; Cook County; Illinois,79016.0
17031061000,Census Tract 610; Cook County; Illinois,121332.0
17031061100,Census Tract 611; Cook County; Illinois,117330.0
17031061200,Census Tract 612; Cook County; Illinois,122857.0
17031061500,Census Tract 615; Cook County; Illinois,128958.0
17031061800,Census Tract 618; Cook County; Illinois,85139.0
17031061901,Census Tract 619.01; Cook County; Illinois,73769.0
17031061902,Census Tract 619.02; Cook County; Illinois,95705.0
17031062000,Census Tract 620; Cook County; Illinois,121375.0
17031062100,Census Tract 621; Cook County; Illinois,103462.0
17031062200,Census Tract 622; Cook County; Illinois,197159.0
17031062400,Census Tract 624; Cook County; Illinois,152361.0
17031062500,Census Tract 625; Cook County; Illinois,203333.0
17031062600,Census Tract 626; Cook County; Illinois,210536.0
17031062700,Census Tract 627; Cook County; Illinois,146979.0
17031062800,Census Tract 628; Cook County; Illinois,190139.0
17031062900,Census Tract 629; Cook County; Illinois,169906.0
17031063000,Census Tract 630; Cook County; Illinois,102040.0
17031063100,Census Tract 631; Cook County; Illinois,94948.0
17031063200,Census Tract 632; Cook County; Illinois,79782.0
17031063301,Census Tract 633.01; Cook County; Illinois,66901.0
17031063302,Census Tract 633.02; Cook County; Illinois,98219.0
17031063303,Census Tract 633.03; Cook County; Illinois,107639.0
17031063400,Census Tract 634; Cook County; Illinois,86979.0
17031070101,Census Tract 701.01; Cook County; Illinois,83614.0
17031070102,Census Tract 701.02; Cook County; Illinois,110577.0
17031070103,Census Tract 701.03; Cook County; Illinois,73581.0
17031070200,Census Tract 702; Cook County; Illinois,109000.0
17031070300,Census Tract 703; Cook County; Illinois,156898.0
17031070400,Census Tract 704; Cook County; Illinois,192955.0
17031070500,Census Tract 705; Cook County; Illinois,207076.0
17031070600,Census Tract 706; Cook County; Illinois,249531.0
17031070700,Census Tract 707; Cook County; Illinois,143955.0
17031071000,Census Tract 710; Cook County; Illinois,179438.0
17031071100,Census Tract 711; Cook County; Illinois,204609.0
17031071200,Census Tract 712; Cook County; Illinois,131383.0
17031071300,Census Tract 713; Cook County; Illinois,129486.0
17031071400,Census Tract 714; Cook County; Illinois,113581.0
17031071500,Census Tract 715; Cook County; Illinois,119024.0
17031071600,Census Tract 716; Cook County; Illinois,204375.0
17031071700,Census Tract 717; Cook County; Illinois,202500.0
17031071800,Census Tract 718; Cook County; Illinois,241228.0
17031080100,Census Tract 801; Cook County; Illinois,105000.0
17031080201,Census Tract 802.01; Cook County; Illinois,120409.0
17031080202,Census Tract 802.02; Cook County; Illinois,106071.0
17031080300,Census Tract 803; Cook County; Illinois,151830.0
17031080400,Census Tract 804; Cook County; Illinois,68270.0
17031081000,Census Tract 810; Cook County; Illinois,79465.0
17031081100,Census Tract 811; Cook County; Illinois,79561.0
17031081201,Census Tract 812.01; Cook County; Illinois,122659.0
17031081202,Census Tract 812.02; Cook County; Illinois,154569.0
17031081300,Census Tract 813; Cook County; Illinois,108625.0
17031081401,Census Tract 814.01; Cook County; Illinois,83292.0
17031081402,Census Tract 814.02; Cook County; Illinois,170333.0
17031081403,Census Tract 814.03; Cook County; Illinois,110327.0
17031081500,Census Tract 815; Cook County; Illinois,134320.0
17031081600,Census Tract 816; Cook County; Illinois,145500.0
17031081700,Census Tract 817; Cook County; Illinois,142821.0
17031081800,Census Tract 818; Cook County; Illinois,147354.0
17031081900,Census Tract 819; Cook County; Illinois,225694.0
17031090100,Census Tract 901; Cook County; Illinois,140194.0
17031090200,Census Tract 902; Cook County; Illinois,127384.0
17031090300,Census Tract 903; Cook County; Illinois,116438.0
17031100100,Census Tract 1001; Cook County; Illinois,114536.0
17031100200,Census Tract 1002; Cook County; Illinois,94167.0
17031100300,Census Tract 1003; Cook County; Illinois,95441.0
17031100400,Census Tract 1004; Cook County; Illinois,142123.0
17031100500,Census Tract 1005; Cook County; Illinois,128688.0
17031100600,Census Tract 1006; Cook County; Illinois,78689.0
17031100700,Census Tract 1007; Cook County; Illinois,134767.0
17031110100,Census Tract 1101; Cook County; Illinois,97743.0
17031110200,Census Tract 1102; Cook County; Illinois,76563.0
17031110300,Census Tract 1103; Cook County; Illinois,119750.0
17031110400,Census Tract 1104; Cook County; Illinois,92315.0
17031110501,Census Tract 1105.01; Cook County; Illinois,105568.0
17031110502,Census Tract 1105.02; Cook County; Illinois,71992.0
17031120100,Census Tract 1201; Cook County; Illinois,163007.0
17031120200,Census Tract 1202; Cook County; Illinois,141458.0
17031120300,Census Tract 1203; Cook County; Illinois,139338.0
17031120400,Census Tract 1204; Cook County; Illinois,108145.0
17031130100,Census Tract 1301; Cook County; Illinois,34565.0
17031130200,Census Tract 1302; Cook County; Illinois,120625.0
17031130300,Census Tract 1303; Cook County; Illinois,67833.0
17031140100,Census Tract 1401; Cook County; Illinois,78686.0
17031140200,Census Tract 1402; Cook County; Illinois,75067.0
17031140301,Census Tract 1403.01; Cook County; Illinois,75616.0
17031140302,Census Tract 1403.02; Cook County; Illinois,97574.0
17031140400,Census Tract 1404; Cook County; Illinois,110306.0
17031140500,Census Tract 1405; Cook County; Illinois,73889.0
17031140601,Census Tract 1406.01; Cook County; Illinois,85375.0
17031140602,Census Tract 1406.02; Cook County; Illinois,62033.0
17031140701,Census Tract 1407.01; Cook County; Illinois,97500.0
17031140702,Census Tract 1407.02; Cook County; Illinois,76392.0
17031140800,Census Tract 1408; Cook County; Illinois,108958.0
17031150200,Census Tract 1502; Cook County; Illinois,105145.0
17031150300,Census Tract 1503; Cook County; Illinois,89097.0
17031150401,Census Tract 1504.01; Cook County; Illinois,86563.0
17031150402,Census Tract 1504.02; Cook County; Illinois,103939.0
17031150501,Census Tract 1505.01; Cook County; Illinois,126471.0
17031150502,Census Tract 1505.02; Cook County; Illinois,79659.0
17031150600,Census Tract 1506; Cook County; Illinois,102399.0
17031150700,Census Tract 1507; Cook County; Illinois,132361.0
17031150800,Census Tract 1508; Cook County; Illinois,92443.0
17031151001,Census Tract 1510.01; Cook County; Illinois,94435.0
17031151002,Census Tract 1510.02; Cook County; Illinois,75875.0
17031151100,Census Tract 1511; Cook County; Illinois,62717.0
17031151200,Census Tract 1512; Cook County; Illinois,69776.0
17031160100,Census Tract 1601; Cook County; Illinois,111250.0
17031160200,Census Tract 1602; Cook County; Illinois,132599.0
17031160300,Census Tract 1603; Cook County; Illinois,68887.0
17031160400,Census Tract 1604; Cook County; Illinois,81375.0
17031160501,Census Tract 1605.01; Cook County; Illinois,80179.0
17031160502,Census Tract 1605.02; Cook County; Illinois,114719.0
17031160601,Census Tract 1606.01; Cook County; Illinois,75536.0
17031160602,Census Tract 1606.02; Cook County; Illinois,99531.0
17031160700,Census Tract 1607; Cook County; Illinois,93750.0
17031160800,Census Tract 1608; Cook County; Illinois,87676.0
17031160900,Census Tract 1609; Cook County; Illinois,109598.0
17031161000,Census Tract 1610; Cook County; Illinois,109524.0
17031161100,Census Tract 1611; Cook County; Illinois,149722.0
17031161200,Census Tract 1612; Cook County; Illinois,80132.0
17031161300,Census Tract 1613; Cook County; Illinois,59353.0
17031170100,Census Tract 1701; Cook County; Illinois,51944.0
17031170200,Census Tract 1702; Cook County; Illinois,110602.0
17031170300,Census Tract 1703; Cook County; Illinois,82203.0
17031170400,Census Tract 1704; Cook County; Illinois,110800.0
17031170500,Census Tract 1705; Cook County; Illinois,85250.0
17031170600,Census Tract 1706; Cook County; Illinois,81004.0
17031170700,Census Tract 1707; Cook County; Illinois,90611.0
17031170800,Census Tract 1708; Cook County; Illinois,80446.0
17031170900,Census Tract 1709; Cook County; Illinois,64202.0
17031171000,Census Tract 1710; Cook County; Illinois,86597.0
17031171100,Census Tract 1711; Cook County; Illinois,95781.0
17031180100,Census Tract 1801; Cook County; Illinois,86632.0
17031190100,Census Tract 1901; Cook County; Illinois,56713.0
17031190200,Census Tract 1902; Cook County; Illinois,80380.0
17031190300,Census Tract 1903; Cook County; Illinois,78750.0
17031190401,Census Tract 1904.01; Cook County; Illinois,115000.0
17031190402,Census Tract 1904.02; Cook County; Illinois,63140.0
17031190601,Census Tract 1906.01; Cook County; Illinois,77316.0
17031190602,Census Tract 1906.02; Cook County; Illinois,82232.0
17031190701,Census Tract 1907.01; Cook County; Illinois,68810.0
17031190702,Census Tract 1907.02; Cook County; Illinois,62813.0
17031190800,Census Tract 1908; Cook County; Illinois,52880.0
17031190900,Census Tract 1909; Cook County; Illinois,77778.0
17031191000,Census Tract 1910; Cook County; Illinois,58182.0
17031191100,Census Tract 1911; Cook County; Illinois,51958.0
17031191200,Census Tract 1912; Cook County; Illinois,51449.0
17031191301,Census Tract 1913.01; Cook County; Illinois,69783.0
17031191302,Census Tract 1913.02; Cook County; Illinois,62146.0
17031200100,Census Tract 2001; Cook County; Illinois,81131.0
17031200200,Census Tract 2002; Cook County; Illinois,69335.0
17031200300,Census Tract 2003; Cook County; Illinois,48977.0
17031200401,Census Tract 2004.01; Cook County; Illinois,69046.0
17031200402,Census Tract 2004.02; Cook County; Illinois,80784.0
17031210100,Census Tract 2101; Cook County; Illinois,115018.0
17031210400,Census Tract 2104; Cook County; Illinois,71183.0
17031210501,Census Tract 2105.01; Cook County; Illinois,76379.0
17031210502,Census Tract 2105.02; Cook County; Illinois,78881.0
17031210601,Census Tract 2106.01; Cook County; Illinois,84271.0
17031210602,Census Tract 2106.02; Cook County; Illinois,87571.0
17031210700,Census Tract 2107; Cook County; Illinois,89196.0
17031210800,Census Tract 2108; Cook County; Illinois,104701.0
17031210900,Census Tract 2109; Cook County; Illinois,101288.0
17031220300,Census Tract 2203; Cook County; Illinois,101875.0
17031220400,Census Tract 2204; Cook County; Illinois,126273.0
17031220500,Census Tract 2205; Cook County; Illinois,102552.0
17031220601,Census Tract 2206.01; Cook County; Illinois,134000.0
17031220602,Census Tract 2206.02; Cook County; Illinois,77650.0
17031220701,Census Tract 2207.01; Cook County; Illinois,77904.0
17031220702,Census Tract 2207.02; Cook County; Illinois,84167.0
17031220901,Census Tract 2209.01; Cook County; Illinois,96458.0
17031220902,Census Tract 2209.02; Cook County; Illinois,82104.0
17031221000,Census Tract 2210; Cook County; Illinois,91914.0
17031221100,Census Tract 2211; Cook County; Illinois,104342.0
17031221200,Census Tract 2212; Cook County; Illinois,127795.0
17031221300,Census Tract 2213; Cook County; Illinois,89158.0
17031221400,Census Tract 2214; Cook County; Illinois,100565.0
17031221500,Census Tract 2215; Cook County; Illinois,92193.0
17031221600,Census Tract 2216; Cook County; Illinois,145625.0
17031222200,Census Tract 2222; Cook County; Illinois,176711.0
17031222500,Census Tract 2225; Cook County; Illinois,159468.0
17031222600,Census Tract 2226; Cook County; Illinois,97632.0
17031222700,Census Tract 2227; Cook County; Illinois,88158.0
17031222800,Census Tract 2228; Cook County; Illinois,73403.0
17031222900,Census Tract 2229; Cook County; Illinois,92386.0
17031230100,Census Tract 2301; Cook County; Illinois,84453.0
17031230200,Census Tract 2302; Cook County; Illinois,96471.0
17031230300,Census Tract 2303; Cook County; Illinois,68229.0
17031230400,Census Tract 2304; Cook County; Illinois,104050.0
17031230500,Census Tract 2305; Cook County; Illinois,48371.0
17031230600,Census Tract 2306; Cook County; Illinois,59351.0
17031230700,Census Tract 2307; Cook County; Illinois,36820.0
17031230800,Census Tract 2308; Cook County; Illinois,65648.0
17031230900,Census Tract 2309; Cook County; Illinois,71224.0
17031231100,Census Tract 2311; Cook County; Illinois,60859.0
17031231200,Census Tract 2312; Cook County; Illinois,40122.0
17031231500,Census Tract 2315; Cook County; Illinois,30637.0
17031240200,Census Tract 2402; Cook County; Illinois,168862.0
17031240300,Census Tract 2403; Cook County; Illinois,171528.0
17031240500,Census Tract 2405; Cook County; Illinois,184580.0
17031240600,Census Tract 2406; Cook County; Illinois,170625.0
17031240700,Census Tract 2407; Cook County; Illinois,95921.0
17031240800,Census Tract 2408; Cook County; Illinois,79643.0
17031240900,Census Tract 2409; Cook County; Illinois,100854.0
17031241000,Census Tract 2410; Cook County; Illinois,98304.0
17031241100,Census Tract 2411; Cook County; Illinois,101016.0
17031241200,Census Tract 2412; Cook County; Illinois,151891.0
17031241300,Census Tract 2413; Cook County; Illinois,173929.0
17031241400,Census Tract 2414; Cook County; Illinois,186537.0
17031241500,Census Tract 2415; Cook County; Illinois,190000.0
17031241600,Census Tract 2416; Cook County; Illinois,117027.0
17031242000,Census Tract 2420; Cook County; Illinois,137333.0
17031242100,Census Tract 2421; Cook County; Illinois,219385.0
17031242200,Census Tract 2422; Cook County; Illinois,162976.0
17031242300,Census Tract 2423; Cook County; Illinois,116094.0
17031242400,Census Tract 2424; Cook County; Illinois,110795.0
17031242500,Census Tract 2425; Cook County; Illinois,97438.0
17031242600,Census Tract 2426; Cook County; Illinois,96607.0
17031242700,Census Tract 2427; Cook County; Illinois,82351.0
17031242800,Census Tract 2428; Cook County; Illinois,180750.0
17031242900,Census Tract 2429; Cook County; Illinois,141645.0
17031243000,Census Tract 2430; Cook County; Illinois,149280.0
17031243100,Census Tract 2431; Cook County; Illinois,125000.0
17031243200,Census Tract 2432; Cook County; Illinois,123750.0
17031243300,Census Tract 2433; Cook County; Illinois,128000.0
17031243400,Census Tract 2434; Cook County; Illinois,125278.0
17031243500,Census Tract 2435; Cook County; Illinois,157283.0
17031250200,Census Tract 2502; Cook County; Illinois,45956.0
17031250300,Census Tract 2503; Cook County; Illinois,60573.0
17031250400,Census Tract 2504; Cook County; Illinois,47723.0
17031250500,Census Tract 2505; Cook County; Illinois,102237.0
17031250700,Census Tract 2507; Cook County; Illinois,50858.0
17031250800,Census Tract 2508; Cook County; Illinois,77414.0
17031251000,Census Tract 2510; Cook County; Illinois,40625.0
17031251100,Census Tract 2511; Cook County; Illinois,43370.0
17031251200,Census Tract 2512; Cook County; Illinois,60064.0
17031251300,Census Tract 2513; Cook County; Illinois,43138.0
17031251400,Census Tract 2514; Cook County; Illinois,24160.0
17031251500,Census Tract 2515; Cook County; Illinois,54938.0
17031251600,Census Tract 2516; Cook County; Illinois,46869.0
17031251700,Census Tract 2517; Cook County; Illinois,55750.0
17031251800,Census Tract 2518; Cook County; Illinois,34220.0
17031251900,Census Tract 2519; Cook County; Illinois,42677.0
17031252000,Census Tract 2520; Cook County; Illinois,36645.0
17031252101,Census Tract 2521.01; Cook County; Illinois,51250.0
17031252102,Census Tract 2521.02; Cook County; Illinois,52049.0
17031252201,Census Tract 2522.01; Cook County; Illinois,49100.0
17031252202,Census Tract 2522.02; Cook County; Illinois,46875.0
17031260100,Census Tract 2601; Cook County; Illinois,15817.0
17031260200,Census Tract 2602; Cook County; Illinois,49250.0
17031260500,Census Tract 2605; Cook County; Illinois,54417.0
17031260600,Census Tract 2606; Cook County; Illinois,50368.0
17031260700,Census Tract 2607; Cook County; Illinois,67986.0
17031260800,Census Tract 2608; Cook County; Illinois,35462.0
17031260900,Census Tract 2609; Cook County; Illinois,23495.0
17031261000,Census Tract 2610; Cook County; Illinois,47708.0
17031270500,Census Tract 2705; Cook County; Illinois,24181.0
17031271200,Census Tract 2712; Cook County; Illinois,32905.0
17031271300,Census Tract 2713; Cook County; Illinois,45488.0
17031271400,Census Tract 2714; Cook County; Illinois,41591.0
17031271500,Census Tract 2715; Cook County; Illinois,52390.0
17031271800,Census Tract 2718; Cook County; Illinois,90331.0
17031280100,Census Tract 2801; Cook County; Illinois,146383.0
17031280400,Census Tract 2804; Cook County; Illinois,40699.0
17031280800,Census Tract 2808; Cook County; Illinois,30231.0
17031280900,Census Tract 2809; Cook County; Illinois,46471.0
17031281900,Census Tract 2819; Cook County; Illinois,121838.0
17031282700,Census Tract 2827; Cook County; Illinois,103942.0
17031282800,Census Tract 2828; Cook County; Illinois,110313.0
17031283200,Census Tract 2832; Cook County; Illinois,66404.0
17031283800,Census Tract 2838; Cook County; Illinois,85972.0
17031290900,Census Tract 2909; Cook County; Illinois,57753.0
17031291600,Census Tract 2916; Cook County; Illinois,118906.0
17031292200,Census Tract 2922; Cook County; Illinois,50547.0
17031292400,Census Tract 2924; Cook County; Illinois,41733.0
17031292500,Census Tract 2925; Cook County; Illinois,56283.0
17031300500,Census Tract 3005; Cook County; Illinois,87721.0
17031300600,Census Tract 3006; Cook County; Illinois,59097.0
17031300700,Census Tract 3007; Cook County; Illinois,48435.0
17031300800,Census Tract 3008; Cook County; Illinois,36349.0
17031300900,Census Tract 3009; Cook County; Illinois,32378.0
17031301100,Census Tract 3011; Cook County; Illinois,52881.0
17031301200,Census Tract 3012; Cook County; Illinois,48160.0
17031301600,Census Tract 3016; Cook County; Illinois,43077.0
17031301701,Census Tract 3017.01; Cook County; Illinois,58678.0
17031301702,Census Tract 3017.02; Cook County; Illinois,76579.0
17031301801,Census Tract 3018.01; Cook County; Illinois,51235.0
17031301802,Census Tract 3018.02; Cook County; Illinois,32165.0
17031301803,Census Tract 3018.03; Cook County; Illinois,62102.0
17031310200,Census Tract 3102; Cook County; Illinois,104167.0
17031310300,Census Tract 3103; Cook County; Illinois,78906.0
17031310400,Census Tract 3104; Cook County; Illinois,83271.0
17031310500,Census Tract 3105; Cook County; Illinois,63070.0
17031310600,Census Tract 3106; Cook County; Illinois,86938.0
17031310700,Census Tract 3107; Cook County; Illinois,76111.0
17031310800,Census Tract 3108; Cook County; Illinois,69435.0
17031310900,Census Tract 3109; Cook County; Illinois,84571.0
17031320101,Census Tract 3201.01; Cook County; Illinois,125862.0
17031320102,Census Tract 3201.02; Cook County; Illinois,97725.0
17031320400,Census Tract 3204; Cook County; Illinois,145278.0
17031320600,Census Tract 3206; Cook County; Illinois,118670.0
17031330101,Census Tract 3301.01; Cook County; Illinois,171388.0
17031330102,Census Tract 3301.02; Cook County; Illinois,120182.0
17031330103,Census Tract 3301.03; Cook County; Illinois,97758.0
17031330200,Census Tract 3302; Cook County; Illinois,143558.0
17031340300,Census Tract 3403; Cook County; Illinois,53030.0
17031340400,Census Tract 3404; Cook County; Illinois,40583.0
17031340500,Census Tract 3405; Cook County; Illinois,62288.0
17031340600,Census Tract 3406; Cook County; Illinois,21279.0
17031350100,Census Tract 3501; Cook County; Illinois,58295.0
17031350400,Census Tract 3504; Cook County; Illinois,20515.0
17031351000,Census Tract 3510; Cook County; Illinois,61736.0
17031351100,Census Tract 3511; Cook County; Illinois,15921.0
17031351500,Census Tract 3515; Cook County; Illinois,77206.0
17031360200,Census Tract 3602; Cook County; Illinois,26143.0
17031380100,Census Tract 3801; Cook County; Illinois,80216.0
17031380200,Census Tract 3802; Cook County; Illinois,17138.0
17031380600,Census Tract 3806; Cook County; Illinois,49134.0
17031381200,Census Tract 3812; Cook County; Illinois,46407.0
17031381400,Census Tract 3814; Cook County; Illinois,47931.0
17031381500,Census Tract 3815; Cook County; Illinois,26738.0
17031381800,Census Tract 3818; Cook County; Illinois,43281.0
17031381900,Census Tract 3819; Cook County; Illinois,73750.0
17031390100,Census Tract 3901; Cook County; Illinois,55893.0
17031390200,Census Tract 3902; Cook County; Illinois,110806.0
17031390400,Census Tract 3904; Cook County; Illinois,38507.0
17031390500,Census Tract 3905; Cook County; Illinois,83938.0
17031390600,Census Tract 3906; Cook County; Illinois,95542.0
17031390700,Census Tract 3907; Cook County; Illinois,73704.0
17031400300,Census Tract 4003; Cook County; Illinois,90716.0
17031400400,Census Tract 4004; Cook County; Illinois,32235.0
17031400500,Census Tract 4005; Cook County; Illinois,38373.0
17031400800,Census Tract 4008; Cook County; Illinois,23059.0
17031410100,Census Tract 4101; Cook County; Illinois,63931.0
17031410200,Census Tract 4102; Cook County; Illinois,56848.0
17031410500,Census Tract 4105; Cook County; Illinois,65240.0
17031410600,Census Tract 4106; Cook County; Illinois,49475.0
17031410700,Census Tract 4107; Cook County; Illinois,45114.0
17031410800,Census Tract 4108; Cook County; Illinois,71989.0
17031410900,Census Tract 4109; Cook County; Illinois,73828.0
17031411000,Census Tract 4110; Cook County; Illinois,70893.0
17031411100,Census Tract 4111; Cook County; Illinois,117500.0
17031411200,Census Tract 4112; Cook County; Illinois,101071.0
17031420200,Census Tract 4202; Cook County; Illinois,44375.0
17031420300,Census Tract 4203; Cook County; Illinois,42973.0
17031420400,Census Tract 4204; Cook County; Illinois,37946.0
17031420500,Census Tract 4205; Cook County; Illinois,22309.0
17031420600,Census Tract 4206; Cook County; Illinois,52989.0
17031420700,Census Tract 4207; Cook County; Illinois,38076.0
17031420800,Census Tract 4208; Cook County; Illinois,47540.0
17031421200,Census Tract 4212; Cook County; Illinois,45550.0
17031430101,Census Tract 4301.01; Cook County; Illinois,31875.0
17031430102,Census Tract 4301.02; Cook County; Illinois,52955.0
17031430200,Census Tract 4302; Cook County; Illinois,54479.0
